stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\breton\OneDrive\Desktop\2023 Spring 2B\Intro to Programming II\Projects\Mini Project 2\Tower_Defence\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.04438] added dtor for sample_instance 00000000085B9250, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04439] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04439] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04439] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04440] added dtor for sample_instance 00000000085B8170, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04440] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04441] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04441] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04442] added dtor for sample_instance 00000000085B8290, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04442] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04442] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04443] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04443] added dtor for sample_instance 00000000085B8830, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04444] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04444] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04444] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04445] added dtor for sample_instance 00000000085B9010, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04445] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04446] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04446] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04447] added dtor for sample_instance 00000000085B8950, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04447] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04447] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04448] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04448] added dtor for sample_instance 00000000085B84D0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04449] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04449] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04449] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04450] added dtor for sample_instance 00000000085B8A70, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04450] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04451] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04451] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04451] added dtor for sample_instance 00000000085B8B90, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04452] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04452] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04452] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04453] added dtor for sample_instance 00000000085B8CB0, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04453] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04454] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04454] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04455] added dtor for sample_instance 00000000085BC730, func 0000000061BE59F2
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04455] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04456] 
